BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
SAMSUNG,BLACK,8_GB,128_GB,4.3,19330,20999,1669,7.947997523691604
NOKIA,GREY,2_GB,16_GB,3.8,10199,10199,0,0.0
INFINIX,BLUE,4_GB,64_GB,4.2,12999,12999,0,0.0
APPLE,BLACK,4_GB,64_GB,4.6,49900,49900,0,0.0
GIONEE,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.0,2199,2199,0,0.0
APPLE,OTHERS,3_GB,64_GB,4.6,42999,47900,4901,10.231732776617951
SAMSUNG,BROWN,1.5_GB,16_GB,4.2,20400,20400,0,0.0
XIAOMI,BLUE,8_GB,128_GB,4.3,21736,22999,1263,5.491543110570025
SAMSUNG,BLACK,4_GB,64_GB,4.2,11989,11989,0,0.0
APPLE,RED,4_GB,256_GB,4.6,64900,64900,0,0.0
REALME,OTHERS,6_GB,128_GB,4.3,19999,21999,2000,9.091322332833313
OPPO,BLACK,3_GB,32_GB,4.3,10490,12990,2500,19.24557351809084
VIVO,GOLD,8_GB,128_GB,4.4,29990,34990,5000,14.289797084881394
SAMSUNG,GOLD,1_GB,16_GB,4.2,6999,6999,0,0.0
LENOVO,OTHERS,4_GB,64_GB,4.1,13999,13999,0,0.0
ASUS,BLUE,2_GB,32_GB,4.1,7699,7699,0,0.0
MOTOROLA,GREY,4_GB,64_GB,3.9,9999,9999,0,0.0
GIONEE,WHITE,1_GB,8_GB,3.5,3499,3499,0,0.0
REALME,WHITE,6_GB,128_GB,4.4,24999,26999,2000,7.407681765991334
GIONEE,BLACK,2_GB,16_GB,4.1,6990,6990,0,0.0
LENOVO,BLACK,2_GB,16_GB,4.0,7999,7999,0,0.0
SAMSUNG,BLUE,6_GB,64_GB,4.5,70000,70000,0,0.0
SAMSUNG,BLACK,4_GB,128_GB,4.3,18199,18199,0,0.0
SAMSUNG,BLACK,4_GB,64_GB,4.5,14990,14990,0,0.0
SAMSUNG,BLUE,2_GB,32_GB,4.0,7999,10499,2500,23.811791599199925
SAMSUNG,BLACK,8_GB,512_GB,4.6,49999,49999,0,0.0
INFINIX,RED,3_GB,32_GB,4.3,8999,8999,0,0.0
APPLE,GREEN,4_GB,64_GB,4.6,49900,49900,0,0.0
SAMSUNG,GOLD,1.5_GB,8_GB,4.0,6990,6990,0,0.0
